Observation,HHSEX,AGE,EDUC,MARRIED,KIDS,LF,FAMSTRUCT,RACE,FOODHOME,FOODAWAY,FOODDELV,INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,SSRETINC,TRANSFOTHINC,PENACCTWD,NORMINC,SAVED,BNKRUPLAST5,KNOWL
119,1,46,13,1,3,1,4,3,8400,12000,2400,723427.4555,303790.9248,564646.0655,5622.157381,0,0,0,0,723427.4555,0,0,1
120,1,39,12,1,3,1,4,2,6000,5200,0,111390.0057,82023.54968,0,0,0,20252.72832,9113.727743,0,111390.0057,0,0,7
121,1,48,8,1,2,1,4,1,4800,600,0,94175.18667,94175.18667,0,0,0,0,0,0,94175.18667,0,0,6
122,2,33,12,2,1,1,1,3,4800,2400,0,37467.54739,37467.54739,0,0,0,0,0,0,37467.54739,1,0,8
123,1,67,11,1,0,1,5,1,6000,3000,0,554519.7013,0,337207.9265,4718.885698,7007.443998,45568.63871,0,0,554519.7013,1,0,8
124,1,69,11,2,0,1,3,2,2400,0,0,25315.9104,25315.9104,0,0,0,0,0,0,25315.9104,0,0,7
125,1,53,8,2,0,1,2,1,2400,600,0,12556.69156,0,12556.69156,0,0,0,0,0,15189.54624,0,0,4
126,1,84,8,1,0,0,5,1,3600,600,0,37265.0201,0,0,0,0,36657.43825,0,0,37265.0201,1,0,10
127,1,57,14,1,1,1,4,1,10400,10400,0,3463216.542,0,1419817.519,1112684.894,250728.7766,0,0,0,3463216.542,1,0,9
128,1,39,9,1,0,1,5,1,3000,2400,0,65821.36703,65821.36703,0,0,0,0,0,0,65821.36703,1,0,7
129,1,66,13,1,0,0,5,1,3600,2400,0,74327.51292,2835.381964,-322.0183802,0,0,73719.93107,0,0,74327.51292,1,1,10
130,1,43,14,1,1,1,4,2,4200,3000,0,539532.6824,536697.3004,0,10.12636416,0,0,2713.865594,0,639986.2148,1,0,8
131,1,49,9,1,2,1,4,2,3000,3120,0,105921.7691,91339.80471,14176.90982,0,0,0,0,0,105921.7691,0,0,7
132,1,36,8,1,1,1,4,1,4800,4800,0,73719.93107,65821.36703,1620.218265,0,0,0,6140.627226,0,73719.93107,1,0,6
